;t100;indep;t900;a201
278;2021-07;1;45940.61;Teigw./Spätzli/Gnoc.
279;2021-08;0;205561.777;Convenience
280;2021-08;0;2870.005;Federwild
281;2021-08;0;3338821.538;Fisch
282;2021-08;0;1811425.943;Fleisch
283;2021-08;0;11967.2;Früchte
284;2021-08;0;1353138.949;Geflügel
285;2021-08;0;24891.9;Gemüse
286;2021-08;0;191939.91;Haarwild
287;2021-08;0;5533.25;Kolonialwaren
288;2021-08;0;4974.3;Konserven divers
289;2021-08;0;1370705.127;Krusten/Sch-Weichtie
290;2021-08;0;77047.62;Milchprodukte
291;2021-08;0;1215.2;Non Food
292;2021-08;0;590;Nordsee
293;2021-08;0;8599.3;Oel/Essig/Senf
294;2021-08;0;10340.227;Pasteten/Terrinen
295;2021-08;0;90135.63;Pilze
296;2021-08;0;850;Post/cargo
297;2021-08;0;56829.55;Teigw./Spätzli/Gnoc.
298;2021-08;1;13020;Bofrost
299;2021-08;1;352829.596;Convenience
300;2021-08;1;3673.361;Federwild
301;2021-08;1;3276083.415;Fisch
302;2021-08;1;1467973.721;Fleisch
303;2021-08;1;16348.1;Früchte
304;2021-08;1;1533868.392;Geflügel
305;2021-08;1;35699.35;Gemüse
306;2021-08;1;141073.753;Haarwild
307;2021-08;1;6462.4;Kolonialwaren
308;2021-08;1;6497.1;Konserven divers
309;2021-08;1;1249523.33;Krusten/Sch-Weichtie
310;2021-08;1;84986.303;Milchprodukte
311;2021-08;1;360.3;Non Food
312;2021-08;1;25834.732;Nordsee
313;2021-08;1;12663.45;Oel/Essig/Senf
314;2021-08;1;12829.71;Pasteten/Terrinen
315;2021-08;1;67514.71;Pilze
316;2021-08;1;302.4;Post/cargo
317;2021-08;1;60680.084;Teigw./Spätzli/Gnoc.
318;2021-09;0;178970;Convenience
319;2021-09;0;10834.179;Federwild
320;2021-09;0;2785742.097;Fisch
321;2021-09;0;1630322.903;Fleisch
322;2021-09;0;12748.3;Früchte
323;2021-09;0;1325486.212;Geflügel
324;2021-09;0;24872.2;Gemüse
325;2021-09;0;503714.59;Haarwild
326;2021-09;0;4016.25;Kolonialwaren
327;2021-09;0;5078.578;Konserven divers
328;2021-09;0;1155733.125;Krusten/Sch-Weichtie
329;2021-09;0;62265.538;Milchprodukte
330;2021-09;0;412.2;Non Food
331;2021-09;0;198.3;Nordsee
332;2021-09;0;7458.35;Oel/Essig/Senf
333;2021-09;0;11039.503;Pasteten/Terrinen
334;2021-09;0;99537.3;Pilze
335;2021-09;0;633.8;Post/cargo
336;2021-09;0;56479.35;Teigw./Spätzli/Gnoc.
337;2021-09;1;37948.8;Bofrost
